Author,Year,Journal,Title,Abstract
Abou Zakhem et al.,2016,Environmental Earth Sciences,"cumulative drought effect on figeh karstic spring discharge (damascus basin, syria)","the effects of climate changes are being strongly perceived in the studied area as in the rest of the mediterranean basin, and groundwater resources are obviously affected. in this paper, figeh karst spring discharge and precipitation in damascus basin were analyzed by normalized methods on a yearly time scale. trends and fluctuations have been highlighted by moving average and the time series are transformed by the rescaled adjusted partial sum (raps). cumulative drought analyses were carried out using spi30 and sqi30. finally, the decreasing trends of the spring discharge due the decrease in rainfall were analyzed. the main results reveal that moving averages and linear trends of spi and sqi delineate very well the drought periods and exhibit clear decrease of precipitation and spring discharge. the raps method identifies a consecutive drought that lasted for 8 9 years separated by 2 3 years of wet periods, during the last three decades. the cumulative droughts using spi30 and sqi30 reveal that wet period (1970 1983) with positive spi30 and sqi30 was characterized by high precipitation and spring discharge, followed by transition period (1984 1997) with around zero values, was affected by the beginning of successive severe and extended droughts. finally, dry period (1998 2013) with negative indexes values distinguished by the effect of severe and extended droughts. the decreasing trends analysis using dpi and dqi showed annual decreasing rates of  0.36 % and of  0.63 %, respectively. thus, the results reveal that precipitation will be decreased to about dpi =  27 % and the discharge decline of about  47 % by 2050. consequently, figeh karstic system is affected by severe extended hydrological droughts during the past three decades especially where the spi30 and sqi30 values decrease below  10. accordingly, it requires the development of sustainable groundwater management to reduce long  terms drought risks."
Abou Zakhem et al.,2016,Journal of Earth System Science,"investigation of hydrological drought using cumulative standardized precipitation index (spi 30) in the eastern mediterranean region (damascus, syria)","the eastern mediterranean region has been exposed to drought episodes, which have been occurring more frequently during the last decades. the objective of the present paper is to study the precipitation regime of the damascus (mazzeh) meteoric station by analysing drought characteristics using the standardized precipitation index (spi) and comparing this with the drought in cyprus. the cumulative drought conceptis proposed to characterize long term hydrologic drought, which affects the shallow groundwater productivity in terms of quantity and quality. gamma probability distribution was fitted to the long term annual precipitation in damascus from 1918 1919 to 2007 2008 (n = 90 years). generally, a decreasing trend of 17% to the mean annual rainfall of damascus and 13% to the mean annual rainfall of cyprus was estimated between 1970 and 2000. the spi identifies three major extended drought periods: (1) 9 years of severe drought (1954 1963) with an average 20% precipitation deficit per year compared to the mean. (2) 8 years of severe drought (1983 1991) with a 27% deficit per year on average. (3) 9 years of extreme drought (1993 2002) with a 31% deficit per year on average. the cumulative standardized precipitation index (spi 30) demonstrates positive values for the first period and is indicative of having no effect on the global waterbalance. spi 30 exhibits sensitive equilibrium with near zero values / a near zero value (+/  1.5) for the second period. for the third period, however, the spi 30 decreases below  10 indicating an extreme hydrological drought that has negative consequences on the recent groundwater recharge. it is required to develop and implement a sustainable groundwater management strategy to reduce long terms drought risks. generally, the spi 30 in cyprus is parallel to that in damascus with a 3 5 year delay. thus, the central zone of the eastern mediterranean region is facing big challenges and has been suffering from three decades of moderate to severe hydrological drought (spi 30= 5 to  10) causing a severe decrease in springs discharges of the region. therefore, in order to reduce the climate change effects on water resources, it is necessary to adopt a sustainable proactive management plan during the frequent severe droughts."
Abuzaid et al.,2018,Egyptian Journal of Soil Science,soil quality indicators in al qalyubia governorate as affected by long term wastewater irrigation,"the sustainable irrigated agriculture in egypt is threatened by water stress that made the reuse of wastewater an alternative option not only in the sandy desert soils but also in the alluvial soils. to assess the impacts of long term wastewater irrigation on soil quality, soils have been irrigated with the effluents of al qalyubia drain beside adjacent nile fresh water irrigated soils (reference), sampled and analyzed. the wastewater irrigation improved fertility status, causing significant increases (p < 0.05) in total n and ab dtpa extractable p, fe and mn compared to the reference soils. however, there was a significant (p < 0.05) build up in soil salinity and total heavy metals; cd, cr, co, cu, ni, pb and zn in the wastewater irrigated soils over the reference soils. the dutch model indicated that the nile fresh water remained safe for agricultural production, while the wastewater irrigated soils could be used under certain precautions. focal measures are recommended to alleviate heavy metal contaminants to avoid potential environmental risks including mixing the wastewater with the fresh water before use and implementation of proper on farm treatments."
Adamowski et al.,2011,Journal of Hydrology,a wavelet neural network conjunction model for groundwater level forecasting,"accurate and reliable groundwater level forecasting models can help ensure the sustainable use of a watershed's aquifers for urban and rural water supply. in this paper, a new method based on coupling discrete wavelet transforms (wa) and artificial neural networks (ann) for groundwater level forecasting applications is proposed. the relative performance of the proposed coupled wavelet neural network models (wa ann) was compared to regular artificial neural network (ann) models and autoregressive integrated moving average (arima) models for monthly groundwater level forecasting. the variables used to develop and validate the models were monthly total precipitation, average temperature and average groundwater level data recorded from november 2002 to october 2009 at two sites in the chateauguay watershed in quebec, canada. the wa ann models were found to provide more accurate monthly average groundwater level forecasts compared to the ann and arima models. the results of the study indicate the potential of wa ann models in forecasting groundwater levels. it is recommended that additional studies explore this proposed method, which can be used in turn to facilitate the development and implementation of more effective and sustainable groundwater management strategies. (c) 2011 elsevier b.v. all rights reserved."
Adamowski et al.,2012,Water Resources Research,"comparison of multiple linear and nonlinear regression, autoregressive integrated moving average, artificial neural network, and wavelet artificial neural network methods for urban water demand forecasting in montreal, canada","daily water demand forecasts are an important component of cost effective and sustainable management and optimization of urban water supply systems. in this study, a method based on coupling discrete wavelet transforms (wa) and artificial neural networks (anns) for urban water demand forecasting applications is proposed and tested. multiple linear regression (mlr), multiple nonlinear regression (mnlr), autoregressive integrated moving average (arima), ann and wa ann models for urban water demand forecasting at lead times of one day for the summer months (may to august) were developed, and their relative performance was compared using the coefficient of determination, root mean square error, relative root mean square error, and efficiency index. the key variables used to develop and validate the models were daily total precipitation, daily maximum temperature, and daily water demand data from 2001 to 2009 in the city of montreal, canada. the wa ann models were found to provide more accurate urban water demand forecasts than the mlr, mnlr, arima, and ann models. the results of this study indicate that coupled wavelet neural network models are a potentially promising new method of urban water demand forecasting that merit further study."
Adams et al.,2012,Water Sa,groundwater: our source of security in an uncertain future preface,groundwater: our source of security in an uncertain future preface
Adhikari et al.,2017,Journal of Contemporary Water Research & Education,calibration and validation of csm cropgro cotton model using lysimeter data in the texas high plains,"texas high plains (thp), one of the most important food and fiber producing regions in the ogallala aquifer region, currently faces rapid decline of groundwater levels. predicted climate extremes and high temporal variability in growing season precipitation may require growers to pump more groundwater from the ogallala aquifer to meet higher crop water demand. the decision support system for agrotechnology transfer (dssat) cropping system model (csm) is a widely used crop simulation tool for evaluating impacts of different water and crop management practices, including irrigation on crop yield and water use efficiency. in this study, cropgro cotton module of the dssat was calibrated and validated using 2000, 2001, 2002, and 2010 irrigated lysimeter field data managed by the usda ars (united states department of agriculture   agricultural research service) conservation and production research laboratory at bushland, tx. the lysimeter field consisted of four equal plots designated as ne, se, nw, and sw. crop growth characteristics including leaf area index (lai), above ground biomass (agb), evapotranspiration (et), soil moisture, and lint yield of 2000 ne, 2000 se, and 2001 ne, were used for calibration and 2002 ne, 2010 ne, and 2010 se were used for validation. the calibrated and validated model was used to simulate the long term (1924 2012) crop yield and seasonal crop et. during the calibration process, some of the cultivar and ecotype parameters that influence lai, agb, and lint yield were adjusted for better statistical results. measured and simulated lai, agb, et, soil moisture, and lint yield showed good agreement during calibration and validation as indicated by performance statistics such as r(2) from 0.70 to 0.82, and percent error (pe) =  0.85 to 17.3% for lai; r(2) = 0.89 to 0.95, and pe =  7.36 to  13.66% for agb; and r(2)=0.90 to 0.94, and pe = 3.20 to 3.44% for et during calibration and validation, respectively. the model underestimated et during peak vegetative growth and development stage except in some circumstances. the calibrated and validated model was able to simulate lint yield and seasonal et during a long term (1924 2012) historic period for bushland, tx, under irrigated conditions. the calibrated model could be used to schedule et based irrigation management practices in the thp and to estimate future et for other modeling experiments."
Adhikary et al.,2015,Arabian Journal of Geosciences,"electrical resistivity tomography for assessment of groundwater salinity in west delhi, india","indiscriminate use of agro chemicals for intensive agriculture is mainly responsible for deterioration of groundwater quality in west delhi of india. geophysical and hydrochemical investigations were carried out to decipher subsurface geologic formation and assess groundwater salinity. electrical resistivity tomography surveys revealed the presence of potential groundwater zones at 20 30 m below ground level. the groundwater quality was moderate to poor as evidenced from the low resistivity value of the potential aquifer. only 20.2 % of the study area showed good quality groundwater potentiality, situated at few pockets in eastern, western, and northern parts of the study area. low resistivity formation at southern part of the study area was due to infiltration of highly polluted drain water along with fertilizer rich surfacewater to the aquifer. hydrochemical investigation also confirmed the result. the average electrical conductivity of groundwater was around 5,950 mu s cm( 1). longitudinal unit conductance and transverse unit resistance values were calculated and used for delineation of saline groundwater zones. a direct relationship between longitudinal unit conductance and groundwater salinity made it possible to develop empirical equations by which salinity can be predicted from computed longitudinal unit conductance value. it helps for periodic monitoring of the pollution level by spending less labour and money and benefits immensely the policy makers. the article suggests further study and research work that can lead to sustainable exploitation/use and management of groundwater resources in west delhi."
Adhikary et al.,2015,Arabian Journal of Geosciences,gis applicability to assess spatio temporal variation of groundwater quality and sustainable use for irrigation,"sustainable and safe use of groundwater requires periodical monitoring of its quality. because of the presence of multiple contaminants, spatial variation of overall groundwater quality is difficult to describe. the present study describes the overall groundwater quality for irrigation using a multi criteria quality assessment system and sustainability of water use by incorporating the aspect of temporal variation of groundwater quality. the gis based multi criteria system effectively amalgamated different quality parameters into an easily understandable format and assessed the spatial variation of groundwater quality for irrigation in west delhi, india. the rate of spatial increment of poor quality groundwater within the study period was 3.7 km(2) per year. it has been observed that there is deterioration of groundwater quality from southwest to east, along the general groundwater flowdirection, and improvement of groundwater quality from west to northeast, due to less urbanization and availability of groundwater recharge zones with good quality water. temporal variation of groundwater quality is high (v>20 %) at northern part, moderate (v=10 20 %) at middle and southern parts, and less (v<10 %) at some pockets of southern part of the study area. the overall groundwater quality coupled with its variation reveals that while the groundwater use is mostly unsustainable in the southern part, groundwater sustainability is constrained by relatively poor and variable quality in western and northern fringes of the study area."
Adiat et al.,2012,Journal of Hydrology,assessing the accuracy of gis based elementary multi criteria decision analysis as a spatial prediction tool   a case of predicting potential zones of sustainable groundwater resources,"inappropriate handling/integration of data from various sources is a problem that can make any spatial prediction tasking and inaccurate. attempt was made in this study to offer solution to this problem by exploring the capability of gis based elementary mcda as a spatial prediction tool. in order to achieve the set objectives, spatial prediction of potential zones of sustainable groundwater resources in a given study area was used as a case study. a total of five set of criteria/factors believed to be influencing groundwater storage potential in the area were selected. each criterion/factor was assigned appropriate weight based on saaty's 9 point scale and the weights were normalized through the analytic hierarchy process (ahp). the process was integrated in the gis environment to produce the groundwater potential prediction map for the area. the effect of coherence of criteria on the efficiency of mcda as a prediction tool was also examined. the prediction map produced was found to be 81.25% accurate. the results of the examination of the effect of coherence of criteria revealed that the ability of the method to produce accurate prediction is dependent on the exhaustiveness of the set of criteria used. it was established in the study that the gis based elementary mcda technique is capable of producing accurate and reliable prediction particularly if the set of criteria use for the prediction is coherent. (c) 2012 elsevier bm. all rights reserved."
Aeschbach-Hertig et al.,2012,Nature Geoscience,regional strategies for the accelerating global problem of groundwater depletion,"groundwater the world's largest freshwater resource is critically important for irrigated agriculture and hence for global food security. yet depletion is widespread in large groundwater systems in both semi arid and humid regions of the world. excessive extraction for irrigation where groundwater is slowly renewed is the main cause of the depletion, and climate change has the potential to exacerbate the problem in some regions. globally aggregated groundwater depletion contributes to sea level rise, and has accelerated markedly since the mid twentieth century. but its impacts on water resources are more obvious at the regional scale, for example in agriculturally important parts of india, china and the united states. food production in such regions can only be made sustainable in the long term if groundwater levels are stabilized. to this end, a transformation is required in how we value, manage and characterize groundwater systems. technical approaches such as water diversion, artificial groundwater recharge and efficient irrigation have failed to balance regional groundwaterbudgets. they need to be complemented by more comprehensive strategies that are adapted to the specific social, economic, political and environmental settings of each region."
Afonso et al.,2016,Water,"environmental groundwater vulnerability assessment in urban water mines (porto, nw portugal)","a multidisciplinary approach was developed to estimate urban groundwater vulnerability to contamination combining hydrogeology, hydrogeochemistry, subterranean hydrogeotechnics, groundwater ecotoxicology and isotope tracers. paranhos and salgueiros spring waters in porto city were used as a case study. historical and current vulnerability scenarios were compared using hydrogeological gis based modelling. potential contamination sources were mapped around the spring galleries. most of these were point sources and their potential contamination load was moderate. the ecotoxicological assessment indicated a low acute toxicity potential. groundwater radionuclides appeared to be mainly controlled by geological factors and biomineralisation. vulnerability maps suggest that most of the area has a moderate to low vulnerability to contamination. however, some surface sources such as sewage systems cause contamination and contribute to increased vulnerability. this integrated approach was demonstrated to be adequate for a better knowledge of urban hydrogeological processes and their dynamics, and highlighted the importance of a vulnerability assessment in urban areas."
Afrifa et al.,2017,Journal of African Earth Sciences,"estimation of groundwater recharge in sedimentary rock aquifer systems in the oti basin of gushiegu district, northern ghana","sustainable development and the management of groundwater resources for optimal socio economic development constitutes one of the most effective strategies for mitigating the effects of climate change in rural areas where poverty is a critical cause of environmental damage. this research assessed groundwater recharge and its spatial and temporal variations in gushiegu district in the northern region of ghana, where groundwater is the main source of water supply for most uses. isotopic data of precipitation and groundwater were used to infer the origin of groundwater and the possible relationship between groundwater and surfacewater in the partially metamorphosed sedimentary aquifer system in the study area. though the data do not significantly establish strong relation between groundwater and surfacewater, the study suggests that groundwater in the area is of meteoric origin. however, the data also indicate significant enrichment of the heavy isotopes (o 18 and h 2) in groundwater relative to rainwater in the area. the chloride mass balance (cmb) and watertable fluctuations (wtf) techniques were used to quantitatively estimate the groundwater recharge in the area. the results suggest groundwater recharge in a range of 13.9 mm/y   218 mm/y, with an average of 89 mm/yr, representing about 1.4% 21.8% (average 8.9%) of the annual precipitation in the area. there is no clearly defined trend in the temporal variations of groundwater recharge in the area, but the spatial variations are discussed in relation to the underlying lithologies. the results suggest that the fraction of precipitation that reaches the saturated zone as groundwater recharge is largely controlled by the vertical hydraulic conductivities of the material of the unsaturated zone. the vertical hydraulic conductivity coupled with humidity variations in the area modulates the vertical infiltration and percolation of precipitation. (c) 2017 elsevier ltd. all rights reserved."
Ahmed et al.,2011,Arabian Journal of Geosciences,"hydrochemical evolution and variation of groundwater and its environmental impact at sohag, egypt","groundwater resources of sohag, egypt are currently threatened by contamination from agricultural and urbanization activities. groundwater in sohag area has a special significance where it is the second source for fresh water used for agricultural, domestic, and industrial purposes. due to growing population, agriculture expansion, and urbanization, groundwater quality assessment needs more attention to cope with the increasing water demand in this arid zones and limited water resources. the aim of this paper is to address the integrated role of geochemical processes, agriculture and urbanization in evolution of groundwater composition, and their impact on groundwater quality to help in management and protection of groundwater resources of study area using geochemical modeling techniques and geographical information systems. spatial variation of groundwater hydrochemical properties, rock water interaction, ion exchange, and assessment of groundwater quality were investigated. results indicated that groundwater properties are varied spatially and its evolution in the study area is generally controlled by the prevailed geochemical processes represented by leaching, dissolution, and precipitation of salts and minerals, ion exchange, in addition to human activities represented by agriculture and urbanization as well as climatic and poor drainage conditions. management alternatives should be followed in the study area to avoid degradation of groundwater quality and provide sustainable development."
Ahmed et al.,2018,Hydrogeology Journal,"hydrologic analysis of the challenges facing water resources and sustainable development of wadi feiran basin, southern sinai, egypt","wadi feiran basin is one of the most promising areas in southern sinai (egypt) for establishing new communities and for growth in agriculture, tourism, and industry. the present challenges against development include water runoff hazards (flash flooding), the increasing water demand, and water scarcity and contamination. these challenges could be mitigated by efficient use of runoff and rainwater through appropriate management, thereby promoting sustainable development. strategies include the mitigation of runoff hazards and promoting the natural and artificial recharge of aquifers. this study uses a watershed modeling system, geographic information system, and classification scheme to predict the effects of various mitigation options on the basin's water resources. rainwater harvesting techniques could save more than 77% of the basin's runoff (by volume), which could be used for storage and aquifer recharge. a guide map is provided that shows possible locations for the proposed mitigation options in the study basin. appropriate measures should be undertaken urgently: mitigation of groundwater contamination (including effective sewage effluent management); regular monitoring of the municipal, industrial and agricultural processes that release contaminants; rationalization and regulation of the application of agro chemicals to farmland; and regular monitoring of contaminants in groundwater. stringent regulations should be implemented to prevent wastewater disposal to the aquifers in the study area."
Ahmed et al.,2016,Science of the Total Environment,"groundwater flow and geochemical evolution in the central flinders ranges, south australia","the chemical characteristics of water in the oratunga area, central flinders ranges, south australia have been used to evaluate and determine the processes controlling water chemistry in addition to the sources of ions. the isotopic analysis results show that the groundwater is mainly meteoric. based on the rock and water chemistry, ionic ratios, hydrochemical facies and saturation indices, the chemical evolution has been studied. the chemistry of groundwater revealed two types of water. thus, in high topographic areas, low tds, bicarbonate and mixed water types are dominated and support a rapid and direct recharge. while in the low topographic areas, high tds and chloride compositions are the most common attributed to the accumulation of ions and groundwater evolution. analysis of the ion concentration, head data and saturation indices shows a compositional trend that can be studied as an evolutionary system. the ionic ratios and hydrogeochemical modelling using netpath was used to quantify and verify the different hydrochemical processes. the resulting data shows that calcite dissolution/precipitation and cation exchange reactions are the major processes affecting groundwater chemical evolution of the groundwater in the basin. this study has provided a basis for a better understanding of the hydrogeologic setting in areas of a little data. (c) 2016 elsevier b.v. all rights reserved."
