Author,Year,Journal,Title,Abstract,Sustainable,Groundwater,Policy,Modeling,Surfacewater,Ecosystem,HumanActivities,Uncertainty,Participation,Coast
Moqbel et al.,2018,Jordan Journal of Civil Engineering,modeling groundwater flow and solute transport at azraq basin using parflow and slim fast,"azraq basin, being one of the largest basins in jordan and a viable drinking water resource, witnessed a dramatic increase in water demand over the past four decades. this led to an over abstraction from this aquifer, which in turn resulted in deterioration of its water quality. to better manage and sustain this and other aquifers, new elaborate computer codes, called parflow and slim fast, have been used to simulate groundwater flow and contaminants' transport at azraq basin. parflow is a portable and parallel processing simulator, designed for modeling multi phase fluid flow in 3d heterogeneous porous media. this code possesses a local mesh refinement capability, uses site topography and subterranean formations and offers a variety of numerical methods for various aspects of numerical simulation, while slim fast uses the random walk method to solve sub surface transport problems of multi phase, multi constituent contaminant mixture. slim fast was written specifically to exploit a quasi analytical formulation to find a rapid solution for the advection transport. these codes provided means to predict the hydraulic head in the upper and middle aquifers, simulate the movement of total dissolved solids (tdss) in the upper aquifer and estimate the age of groundwater. results from groundwater model showed that steady state drawdown at points of observation may reach 28 m, which exceeds the 15.3 m drawdown previously predicted by other formal studies. contaminant transport model results indicated that the concentration of total dissolved solids is expected to increase slowly in the basin due to the movement of high salinity water toward the pumping wells used for domestic purposes. estimated values of groundwater age varied between 3000 and more than 50,000 years based on the flowdirection.",1,1,0,1,0,0,0,0,0,1
Perri et al.,2018,Water Resources Research,plant osmoregulation as an emergent water saving adaptation,"soil salinity affects plant transpiration and growth through two main pathways: the osmotic effect of salt in the soil (osmotic stress; analogous to water stress) and the toxic effect of salt within the plant (ionic stress; salt specific). however, the drastic and sudden reduction of transpiration exhibited by most species in response to an increase of salinity in the root zone is mainly associated with the osmotic phase, while ionic stress appears at a later time, causing the premature senescence of leaves and the reduction of the plant photosynthetic area. to better investigate the effects of salinity on plant water relations, we introduce a parsimonious soil plant atmosphere continuum (spac) model accounting for both salt exclusion at the root level and osmoregulation i.e.,the adjustment of internal water potential in response to salt stress. the model is used to interpret a paradox observed in salt tolerant species where transpiration is maximum at an intermediate value of salinity (c tr,c max), and is lower in more fresh (c < c tr,c max) and more saline (c > c tr,c max) conditions. such nonmonotonic transpiration salt concentration (t r c) patterns can be largely explained by plant osmoregulation, while the peak of transpiration at c tr,c  max tends to disappear over longer time scales, when ionic stress appears and morphological adaptations become predominant. osmoregulation emerges here as a water saving behavior similar to the strategies that xerophytes use to cope with aridity. the maximum of transpiration at c tr,c  max is thus the result of a trade off between the enhancement of salt tolerance and optimal carbon assimilation. plain language summary soil salinization represents a major threat for the food security and sustainable development of drylands, with salt affected soils presently covering more than 9 billion ha worldwide expected to further increase due to climate change, landuse modifications and erroneous irrigation/groundwater abstraction practices. despite this fact, the effects of salinity on the rate at which plants transpire and grow in salt affected soils are rarely considered in ecological and ecohydrological models, and the different processes leading to salt tolerance are yet poorly understood. here, we introduce a simple model of how salt tolerant species adapt to elevated salt concentrations in the soil, and of how such adaptations substantially lead to plant osmoregulation, as an emergent water saving behavior similar to the strategies that aridity tolerant species (xerophytes) use to cope with extreme water scarcity. the bottom line is that salt tolerant plants experience salt stress as an alternative form of water limitation, and developed both short and long term adaptations accordingly. our findings are instrumental to a better comprehension of the interplay between soil salinization, salt tolerance and efficient water use that is, in turn, the key to understand the potential of salt tolerant crops and contrast soil salinization.",1,1,0,1,0,1,0,0,0,1
Jia et al.,2018,Science of the Total Environment,"distribution, formation and human induced evolution of geogenic contaminated groundwater in china: a review","the sustainability of groundwater usage faces quality problem caused by anthropogenic activity as well as geogenic contamination. with varied climate zones, geomorphology and geological background, china faces a variety of geogenic contaminated groundwater (gcg) reported known as high tds, fe, mn, as, f, i, nh4+, u, cr and low i, se, etc., may still exist some others not fully known yet. the problem of gcg is more significant in northern china due to extensive groundwater usage, arid climate and widespread holocene strata. high salinity groundwater is mainly distributed in semi arid/arid northwestern inland basins and coastal areas. elevated fe and mn are frequently concomitant and controlled by redox potential, prevailing in the sanjiang plain, yellow river basin, and middle and lower reaches of the yangtze river basin. high as groundwater occurs in reducing aquifer is mainly distributed in the yellow river, yangtze river and huai river basins as well as the songnen plain and xinjiang. fluoride is characterized by its areal distribution in northern china in comparison with scatter occurrence in the south. the dissolution of f bearing minerals as well as evaporation effect both contribute to elevated f. high iodine groundwater mainly distributed in the yellow huai hai river basin and low iodine prevailing in piedmont areas both pose health issues. iodine is related to decomposition of organic matter (oc) as well as marine origin. contributed by oc mineralization naturally occurring nh4+ was found in reducing aquifers. the gcg triggers endemic disease in addition to reduce groundwater resource. the co occurrence like high tds and f, as and f are frequently observed posing major challenges for mitigation. anthropogenic influence like abstraction and pollutant infiltration would alter groundwater flow and the redox condition causing the further evolution of gcg. identification of gcg should be made in rural areas where private wells prevail to ensure resident's health. (c) 2018 elsevier b.v. all rights reserved.",1,1,0,0,0,0,1,0,0,1
Parisi et al.,2018,International Journal of Disaster Risk Reduction,cascading vulnerability scenarios in the management of groundwater depletion and salinization in semi arid areas,"meteorological droughts can have unexpected cascading consequences on social, economic, and environmental systems, which depend on the starting conditions of affected systems, and on natural and human drivers. in coastal areas, droughts propagate their effects to coastal aquifers, causing exacerbation of withdrawals with consequent worsening of groundwater quality and quantity. considering the area of lecce province (salento peninsula, apulia region, southern italy), the study outlines the non linear cascading paths related to groundwater depletion and salinization in an urbanized coastal region depending quite entirely on groundwater resources of a coastal karst aquifer. the outline of cascading events is the outcome of a scenario building process carried out through semi structured interviews to water management stakeholders. the cascading scenarios relate to different degrees of system resilience and describe chain effects and vulnerabilities. these scenarios can have significant outcomes in improving water management practices and increasing both local manager and end user awareness about potential and unexpected cascading consequences related to droughts.",1,1,0,0,0,0,1,0,1,1
Post et al.,2018,Journal of Hydrology,"on the resilience of small island freshwater lenses: evidence of the long term impacts of groundwater abstraction on bonriki island, kiribati","on the resilience of small island freshwater lenses: evidence of the long term impacts of groundwater abstraction on bonriki island, kiribati",1,1,0,0,0,0,0,0,0,1
Pouliaris et al.,2018,Environmental Earth Sciences,hydrodynamic analysis of a mediterranean aquifer system with the use of hydrochemical and isotopical analysis as supporting tools,"the management of groundwater resources in coastal environments within the mediterranean basin has become of paramount importance, especially in the light of global changes. a typical example of such a hydrosystem is the lavrio basin in greece. this research site involves two aquifer types granular and karstic formations that are hydraulically interconnected. furthermore, the proximity to the sea and the abstractions for irrigation and drinking water supply have led to the phenomenon of seawater intrusion. the present study aims at analyzing the hydraulic, hydrological, and hydrogeological conditions of the area by means of hydrochemical and isotopical data interpretation as supporting tools, which will inform and support the development of an integrated conceptual hydrogeological model of the area. field investigations were conducted in order to collect piezometric and chemical data and use them to retrieve the quantitative and qualitative status of the local aquifer units. new interpretation of an older dataset gave an insight into how the karstic aquifer behaves in terms of hydraulics. the results have also demonstrated that there is a hydraulic connection between the different aquifers and the mediterranean sea, while natural recharge was quantified for both aquifer types.",1,1,0,1,0,0,0,0,0,1
Pulido-Velazquez et al.,2018,Hydrology and Earth System Sciences,integrated assessment of future potential global change scenarios and their hydrological impacts in coastal aquifers   a new tool to analyse management alternatives in the plana oropesa torreblanca aquifer,"any change in the components of the waterbalance in a coastal aquifer, whether natural or anthropogenic, can alter the freshwater salt water equilibrium. in this sense climate change (cc) and landuse and land cover (lulc) change might significantly influence the availability of groundwater resources in the future. these coastal systems demand an integrated analysis of quantity and quality issues to obtain an appropriate assessment of hydrological impacts using density dependent flow solutions. the aim of this work is to perform an integrated analysis of future potential global change (gc) scenarios and their hydrological impacts in a coastal aquifer, the plana oropesa torreblanca aquifer. it is a mediterranean aquifer that extends over 75 km(2) in which important historical lulc changes have been produced and are planned for the future. future cc scenarios will be defined by using an equi feasible and non feasible ensemble of projections based on the results of a multi criteria analysis of the series generated from several regional climatic models with different downscaling approaches. the hydrological impacts of these cc scenarios combined with future lulc scenarios will be assessed with a chain of models defined by a sequential coupling of rainfall recharge models, crop irrigation requirements and irrigation return models (for the aquifer and its neighbours that feed it), and a density dependent aquifer approach. this chain of models, calibrated using the available historical data, allow testing of the conceptual approximation of the aquifer behaviour. they are also fed with series representatives of potential global change scenarios in order to perform a sensitivityanalysis regarding future scenarios of rainfall recharge, lateral flows coming from the hydraulically connected neighbouring aquifer, agricultural recharge (taking into account expected future lulc changes) and sea level rise (slr). the proposed analysis is valuable for improving our knowledge about the aquifer, and so comprises a tool to design sustainable adaptation management strategies taking into account the uncertainty in future gc conditions and their impacts. the results show that gc scenarios produce significant increases in the variability of flow budget components and in the salinity.",1,1,0,1,0,0,0,1,0,1
Nakaya et al.,2018,Hydrological Processes,hydrochemical behaviour of an underground dammed limestone aquifer in the subtropics,"in an island area with limited surfacewater resources, the conservation of fresh groundwater resources is important for the maintenance of the water supply and irrigation system to be used in agricultural activity. in a limestone aquifer used for irrigation on a subtropical island, the progress of the dissolution behaviour of the aquifer and the effects of co2 storage and chemical weathering of the aquifer must be understood to ensure sustainable groundwater use. in this study, hydrochemical behaviour of the ryukyu limestone aquifer was investigated using the residence time of slowly flowing groundwater, which is contained by a 2.3 km long underground man made dam constructed in 2005 located at the southern edge of okinawa island, japan. groundwater dating and horizontal flow velocity measurements indicate that the groundwater horizontal flow is slow in the underground dam area, whereas the saturation index (si) for calcite indicates that the majority of the limestone exists in a supersaturated condition. the range of si for gypsum was indicative of subsaturation, and the si increased with the groundwater residence time, suggesting that the dissolution of caso4 tends to proceed slowly through the common ion effect. the dissolution of caco3, however, tends to be in suspension within about a residence time of 20 years. the apparent dissolution rate of ca in the ryukyu limestone aquifer in this area was estimated to be approximately 2.70 4.06 nmol cm( 2) year( 1), a value much lower than that of the early stages of the limestone dissolution. the estimated groundwater co2 (gas) concentrations are two order high (about 0.3 7%) relative to atmospheric co2 (about 0.04%), and the groundwater ph shows a tendency to decrease from 7.4 to 6.9 over the last approximately 20 years, indicating that the hydration reaction of co2 occurs in the ryukyu limestone aquifer. these findings imply that high co2 produced in the subtropical zone is consumed slower than co2 production during limestone dissolution, with the exclusion of the early stage of the chemical weathering process, and causes groundwater acidification in the underground dammed limestone aquifer.",1,1,0,0,1,0,0,0,0,1
Cox et al.,2018,Applied Geochemistry,soil quality changes due to flood irrigation in agricultural fields along the rio grande in western texas,"growing populations demand more food, putting more pressure on soil productivity and sustainability around the world. in western texas along the rio grande valley, the low natural rainfall requires frequent irrigations for sustaining agriculture. to investigate the impacts of irrigation on soil quality, we collected and modelled geochemical data (major elements and nutrients) on irrigation water, soil pore water, drainage water, and soil samples, and monitored soil moisture, temperature, and electrical conductivity with sensors from two pecan, one cotton, and one alfalfa fields in western texas. this study showed that flood irrigation with both surface (rio grande river) and groundwaters significantly increased the root zone salinity, soil sodicity, and nutrient leaching from soils to the underlying aquifers and rio grande river from agricultural fields of the arid southwest. the water used for irrigation was high in total dissolved solids (> 500 ppm generally), dominated by na+, cl , ca2+ and so42 . after flood irrigation, infiltrating water dissolved salts such as gypsum that have accumulated in the soils due to previous irrigations, or/and mixed existing concentrated soil waters, and approached saturation with respect to these evaporite minerals. soil water was supersaturated with respect to carbonates as pedogenic calcite precipitated out and reached concentrations of similar to 10 wt% of total soil mass. this suggested that pedogenic carbonate is an important carbon reservoir and precipitation kinetics and controls of such secondary calcite need further investigation for the irrigated agricultural fields in arid regions of the world. chemistry of agricultural return flow samples collected from drainage ditches was similar to that of irrigation water, suggesting that most of the irrigation water had taken a shallow and short flowpath through the fields to drains. between irrigation events, soil water became more concentrated as water was lost through evapo transpiration that led to precipitation of evaporite salts. as a result, sodicity and salinity of soils, especially clayey soils, frequently exceeded the tolerance levels of major crops grown in the region. here in these fine textured soils, combination of high evapotranspiration rates, intensive irrigation with water of elevated salinity, and limited infiltration stunted crop growth, decreased soil porosity and permeability, led to poor aeration, and accelerated salt buildup via a positive feedback mechanism. during initial irrigation where soils were saturated, soil water also percolated and recharged to underlying aquifers, and thus salts, nutrients, and trace metals from agricultural practices (i.e., application of fertilizers, irrigation, soil amendments, and pesticide) could be mobilized to shallow groundwaters. this implied that chemistry of rio grande river, groundwater, and soil was closely linked. thus the sustainability of agriculture depended on appropriate water, soil and crop management practices.",1,1,0,1,0,0,0,0,0,1
Duque et al.,2018,Environmental Earth Sciences,estimating the waterbudget in a semi arid region (torrevieja aquifer south east spain) by assessing groundwater numerical models and hydrochemical data,"the driest area of europe is located in the south east of spain. in this region, water plays an essential role for the development and maintenance of the major economical engines for society, tourism and agriculture. in the coastal areas, water scarcity increases the risk of saltwater intrusion connected also to the overexploitation of aquifers. the adequate management of coastal aquifers requires to integrate climatic and hydrogeological information, but it is common to find incomplete datasets and uncertainties about the sources and sinks of water. the torrevieja coastal aquifer gathers all these challenges with limited information available and essential questions about the aquifer functioning. the waterbudget has an imbalance between inputs from precipitation irrigation return and outputs connected to water supply pumping for population and agriculture. initial estimates indicate an annual deficit of 4.36 mm(3) that would produce short term changes in the hydrodynamic system. however, the aquifer has been continuously exploited for the last 30 years which indicates the necessity of reviewing the hydrogeological characteristics of the region. a set of new conceptual models has been tested with numerical models to present alternative possibilities about the hydrogeological functioning combined with the analysis of hydrochemical data. the evaluation of the conceptual models revealed that up to 75% of the groundwater being extracted could proceed from a lower aquifer that has not been monitored. the improved waterbudget indicated a much lower annual deficit in the torrevieja aquifer (0.2 0.8 mm(3)) occasionally positive in years with high precipitation but introduces new questions about the recharge and origin of groundwater in the lower aquifer. in semi arid areas, water is crucial facing climatic change and desertification processes; in this work, it is presented how the use of numerical models combined with hydrochemical information is a useful approach to provide new perspectives and improve water management.",1,1,0,1,0,0,0,1,0,1
Chebil et al.,2018,New Medit,policy measures for reducing aquifer depletion in a context of climate change: the case of the coastal area of cap bon (tunisia),"groundwater resources are critically important for irrigated agriculture in tunisia. however, excessive irrigation extractions where groundwater is slowly renewed are causing a widespread depletion of the aquifer systems, with the impacts of climate change expected to further exacerbate this problem. these circumstances call for the development of methodologies and analyses that can support the design of sustainable groundwater management policies. this paper presents a hydro economic mathematical programming model that is used to evaluate the effects of different policy measures for reducing aquifer depletion in the cap bon region of tunisia. three policies have been evaluated: a quota defining the maximum quantity of groundwater extractions, environmental taxation, and supply expansion with subsidized desalinated seawater. overall, results highlight the economic and social tradeoffs among these different policy choices and the challenges facing the implementation of sustainable groundwater management in tunisia. more speccally, results show the advantages of using subsidized desalinated seawater compared to the other two policy alternatives in terms of the value of agricultural production, farmers' profits, and employment, despite of its sizeable budgetary burden.",1,1,1,1,0,0,1,0,0,1
