Author,Year,Journal,Title,Abstract
Andrei et al.,2009,Waterbirds,foraging ecology of migrant shorebirds in saline lakes of the southern great plains,tens of thousands of shorebirds use saline lakes as migratory stopovers in the southern great plains usa to assess their foraging strategies and understand how they replenish energy reserves during spring and sum mer/fall migrations we examined diets prey taxa selection and prey size selection of american avocets (recurvi rostra americana) least sandpipers (calidris minutilla) wilson s phalatopes (phalaropus tricolor) and lesser yellowlegs (tringa flavipes) migrant shorebirds foraged opportunistically by taking most prey taxa according to their availability least sandpipers preferred small prey (2 5 mm) whereas american avoet wilson s phalaropes and lesser yellowlegs generally preferred intermediate and large prey (6 20 mm) by consuming prey taxa according to their availability and prey sizes that require minimum energy to capture and ingest shorebirds increase their ability to replenish energy reserves while migrating through intet lot north america drought and drying of fresh water springs will reduce availability of prey in saline lakes for migrating shorebirds to preserve the saline lakes as important habitats where shorebirds replenish nutrient reserves while migrating through the great plains it is important to conserve groundwater so that freshwater springs continue to discharge into the lakes received 30 january 2008 accepted 2 september 2008
Archer et al.,2010,Hydrology and Earth System Sciences,sustainability of water resources management in the indus basin under changing climatic and socio economic conditions,"pakistan is highly dependent on water resources originating in the mountain sources of the upper indus for irrigated agriculture which is the mainstay of its economy. hence any change in available resources through climate change or socio economic factors could have a serious impact on food security and the environment. in terms of both ratio of withdrawals to runoff and per capita water availability, pakistan's water resources are already highly stressed and will become increasingly so with projected population changes. potential changes to supply through declining reservoir storage, the impact of waterlogging and salinity or over abstraction of groundwater, or reallocations for environmental remediation of the indus delta or to meet domestic demands, will reduce water availability for irrigation. the impact of climate change on resources in the upper indus is considered in terms of three hydrological regimes   a nival regime dependent on melting of winter snow, a glacial regime, and a rainfall regime dependent on concurrent rainfall. on the basis of historic trends in climate, most notably the decline in summer temperatures, there is no strong evidence in favour of marked reductions in water resources from any of the three regimes. evidence for changes in trans himalayan glacier mass balance is mixed. sustainability of water resources appears more threatened by socio economic changes than by climatic trends. nevertheless, analysis and the understanding of the linkage of climate, glaciology and runoff is still far from complete; recent past climate experience may not provide a reliable guide to the future."
Arshad et al.,2009,International Journal of Agriculture and Biology,"simulating seepage from branch canal under crop, land and water relationships","the rapid growth of tubewells in the indus basin of pakistan shows significant contribution of groundwater in the irrigated agriculture development. the dependence on groundwater has increased due to rapid growth in cropping intensity and increasing water demand. hence, to support a long term agricultural management the sustainability of groundwater largely depends on seepage from canals. this paper presents model simulation assessments of the time dependent seepage to groundwater under the crop, land and water scenarios, as a case study for a branch canal system in punjab, pakistan. assessment of seepage from canal was performed using a surface groundwater model, modflow. model calibrations were performed to obtain close agreement between the observed and simulated water levels over one year study period. the monthly average seepage rate from the canal was assessed as 12.10 m(3)/s/million m(2) for a monthly average. flow rate of 106 m(3)/s. resultantly the contribution of seepage to groundwater is based on the waterbalance components including recharge flow, applied irrigation, rainfall, lateral flow and evapotranspiration from the existing cropping system. a relationship between seepage (s) and the canal flow rate (q) was developed (s = 0.006 q(1.44)) to quantify the seepage to groundwater from the canal for any flow rate."
Asad-Uz-Zaman et al.,2006,Journal of Hydrology,improved yield from aquifers of limited saturated thickness using inverted wells,"inverted wells, in which the solid casing extends over the full depth of the permeable aquifer, but with slotted screens projecting upwards alongside the solid casing, can provide high yields in moderately transmissive aquifers for which all permeable strata are within about 30 m of the non pumping water level. the use of inverted wells has been pioneered in the rajshahi barind in northwest bangladesh. conceptual and computational models of inverted wells are developed. by examining a step pumping test using a numerical model, the important flow processes are identified and quantified. the sustainability, of the substantial groundwater abstraction in the rajshahi barind is examined by considering the recharge processes which depend on losses from flooded rice fields, the hydraulic conductivity of the overlying barind clay and the seasonal recovery of observation well water levels. (c) 2005 elsevier b.v. all rights reserved."
Askri et al.,2010,Journal of Hydrology,development and application of a conceptual hydrologic model to predict soil salinity within modern tunisian oases,"in modern oases situated in the south of tunisia, secondary salination of irrigated lands is a crucial problem. the visible salt deposits and soil salination processes are the consequence of several factors including the excessive use of saline irrigation water, seepage from earthen canal systems, inefficient irrigation practices and inadequate drainage. understanding the mechanism of the secondary salination is of interest in order to maintain existing oases, and thus ensure the sustainability of date production in this part of the country. therefore, a conceptual, daily, semi distributed hydrologic model (oasis mod) was developed to analyse the impact of irrigation management on the watertable fluctuation, soil salinity and drain discharge, and to evaluate measures to control salinity within an oasis ecosystem. the basic processes incorporated in the model are irrigation, infiltration, percolation to the shallow groundwater, soil evaporation, crop transpiration, groundwater flow, capillary rise flux, and drain discharge. oasis mod was tested with data collected in a parcel of farmland situated in the segdoud oasis, in the south west of tunisia. the calibration results showed that groundwater levels were simulated with acceptable accuracy, since the differences between the simulated and measured values are less than 0.22 in. however, the model under predicted some watertable peaks when irrigation occurs due to inconsistencies in the irrigation water data. the validation results showed that deviations between observed and simulated groundwater levels have increased to about 0.5 m due to under estimation of groundwater inflow from an upstream palm plantation. a long term simulation scenario revealed that the soil salinity and groundwater level have three types of variability in time: a daily variability due to irrigation practices, seasonal fluctuation due to climatic conditions and annual variability explained by the increase in cultivated areas. the irrigation interval was found to be important with irrigating once each ten days leading to soil salinity increase during the dry summer season and to a rising watertable during the autumn winter period. the annual increase in the irrigated area caused a decrease of the irrigation water depths, and thus an augmentation of the soil and groundwater salinities. the surface area affected by a soil salinity concentration above 15 g/l has increased from 2% of the study parcel area in june 1992 to about 50% four years later due to the abandonment of several cultivated basins. (c) 2009 elsevier b.v. all rights reserved."
Baalousha et al.,2010,Agricultural Water Management,"assessment of a groundwater quality monitoring network using vulnerability mapping and geostatistics: a case study from heretaunga plains, new zealand","a groundwater monitoring network can provide quantity and quality data necessary to make informed decisions regarding the state of the environment. a properly designed monitoring system provides a representative understanding of the state of the monitored area. the selection of the optimum number of monitoring sites and their spatial distribution is a major challenge for the hydrogeologist. on the one hand, improper distribution of monitoring sites or insufficient number of sites will not provide a representative view of the state of the environment. on the other hand, if the sampled sites are too many, the information obtained is redundant and the monitoring network is costly and inefficient. a new methodology combining vulnerability mapping and geostatistics is proposed to help define the most efficient groundwater quality monitoring network on a regional scale. vulnerability mapping identifies areas with high pollution potential, and in turn, prioritises for monitoring. a geostatistics methodology is then used to interpret the obtained data and to examine the spatial distribution of monitored parameters at different sites. the accuracy of spatial mapping reflects the effectiveness of the distribution of the monitoring sites. the methodology was applied to assess the nitrate monitoring network in the heretaunga basin, hawke's bay, new zealand. the drastic approach was used to prepare a vulnerability map for the area of study, and kriging variance was used to check the spatial distribution of the sites. based on this study, it was found that some areas with high vulnerability are not covered within the existing network indicating the number of monitoring sites and their distribution is not efficient. some sites should be dropped and some others need to be added to the existing network. (c) 2009 elsevier b.v. all rights reserved."
Bacchus et al.,2003,Hydrological Processes,near infrared spectroscopy of a hydroecological indicator: new tool for determining sustainable yield for floridan aquifer system,near infrared spectroscopy of a hydroecological indicator: new tool for determining sustainable yield for floridan aquifer system
Bahramian et al.,2007,Journal of Theoretical Biology,coupling of transcription termination to rnai,"in metazoans, the mechanisms of transcriptional termination by rna polymerase ii (pol ii) and accelerated decay of messenger rna (mrna) following transcription shutdown are linked by sharing the same sequence elements and mrna elongation, processing and termination factors. this begs the question, how could one process have two opposite outcomes, making or degrading mrna? an integrated ""allosteric genei torpedo"" model that could explain this paradox predicts participation of two novel factors: (1) an allosteric factor, regulated by a physiological repressor, binds to a unique sequence element of a gene near the site of cleavage and polyadenylation, poly(a) site, and acts on the homologous site on the nascent transcript to cause its cleavage. the conformational changes of this factor determine the fate of nascent rna, either to get cleaved and processed to mature mrna for directing protein synthesis, or not to get cleaved and become template for double stranded (ds) rna synthesis. (2) a general transcription termination factor, recruited by transcribing pol iit the poly(a) site, allostrically alters and induces pol iio switch template from dna to nascent rna several hundred nucleotides downstream of the poly(a) site. the template switch disengages pol iirom dna and effectively terminates transcription. the pol ii with newly acquired rna dependent rna polymerase activity retraces its path, back along the nascent rna, so generating dsrna. the extent to which it can retrace this path is determined by the factors influencing the cleavage of the pre mrna at the site of polya addition. if cleavage and polyadenylation occur, the retracing is cut short, the 3' rna is degraded by an exonuclease and the polymerase is liberated to reinitiate transcription. if the cleavage is inhibited, then a full length dsrna can be produced. this can then be subject to cleavage by ""dicer"", which generates fragments of similar to 22 bp that guide degradation of the cognate mrna via the rna interference (rnai) pathway. this model complements the current ""allosteric torpedo"" model of transcription termination, and could explain the apparent paradox of the divergent results of a common biological process. (c) 2006 elsevier ltd. all rights reserved."
Bajjali et al.,2006,Nordic Hydrology,"recharge origin, overexploitation, and sustainability of water resources in an arid area from azraq basin, jordan: case study","recharge origin, overexploitation, and sustainability of water resources in an arid area from azraq basin, jordan: case study"
Banerjee et al.,2009,Environmental Geology,forecasting of groundwater level in hard rock region using artificial neural network,"in hardrock terrain where seasonal streams are not perennial source of freshwater, increase in groundwater exploitation has already resulted here in declining groundwater levels and deteriorating its' quality. the aquifer system has shown signs of depletion and quality contamination. thus, to secure water for the future, water resource estimation and management has urgently become the need of the hour. in order to manage groundwater resources, it is vital to have a tool to predict the aquifer response for a given stress (abstraction and recharge). artificial neural network (ann) has surfaced as a proven and potential methodology to forecast the groundwater levels. in this paper, feed forward network based ann model is used as a method to predict the groundwater levels. the models are trained with the inputs collected from field and then used as prediction tool for various scenarios of stress on aquifer. such predictions help in developing better strategies for sustainable development of groundwater resources."
Barlow et al.,2003,Journal of Water Resources Planning and Management-Asce,conjunctive management models for sustained yield of stream aquifer systems,conjunctive management models for sustained yield of stream aquifer systems
Batelaan et al.,2007,Journal of Hydrology,gis based recharge estimation by coupling surface subsurfacewaterbalances,"a spatially distributed waterbalance model is developed to simulate tong term average recharge depending on land cover, soil texture, topography and hydrometeorological parameters. the model simulates recharge iteratively connected to a groundwater model, such that the recharge estimate is also influenced by the groundwater depth and vice versa. parameter estimation for the model is performed on the basis of literature values of waterbalance fluxes from mainly belgium and the netherlands. by graphical and non linear baseflow separation for 17 catchments it is shown that recharge spatially varies considerably. the waterbalance model coupled to a regional groundwater model is applied and successfully tested on the 17 catchments. the application shows that the resulting recharge has a spatial complex pattern, depending to a large extend on the soil texture and land cover. moreover, shallow groundwater levels in valleys cause negative recharge conditions as a result of evapotranspiration by abundant phreatophytic vegetation. gis analysis shows how recharge strongly varies for different combinations of land cover and soil texture classes. the performed analysis provides a better insight into the sustenance and management of groundwater resources. (c) 2007 elsevier b.v. all rights reserved."
Bekele et al.,2006,Australian Journal of Earth Sciences,impact of change in vegetation cover on groundwater recharge to a phreatic aquifer in western australia: assessment of several recharge estimation techniques,"groundwater levels in a deep phreatic aquifer in the northern perth basin, western australia have risen between 10 and 55 cm/y over the last three decades due to the replacement of deep rooted native vegetation with pasture and annual crops, this has sparked debate over increasing groundwater allocation limits to meet growing demand. estimates of recent and historical rates of groundwater recharge are needed to manage the resource effectively. the parmelia formation, composed predominantly of sandstone, supplies domestic, stock and production bores for rural towns. groundwater recharge was estimated using several recharge estimation techniques including the watertable fluctuation method and tracer techniques; groundwater chloride, chlorofluorocarbons (cfcs) and c 14, vertical fluxes of soilwater under pasture and native vegetation were determined using chloride as a tracer, apparent groundwater ages determined using cfcs and carbon 14 are generally younger than 40 years in piezometers that are screened within a few metres of the watertable from recharge under pasture, while groundwater is older than several thousand years in bores that are screened well below the watertable, and mixed waters occur at discharge areas. recharge rate estimates obtained under native vegetation are mainly < 12 mm/y, whereas after replacement with pasture and annual crops, recharge rates are generally 20 50 mm/y. the presence of thick clay lenses in some areas may be responsible for observed delays of approximately one decade in the watertable response to landuse change. the study highlighted the fact that several recharge estimation techniques are required for better understanding of recharge processes and evaluation of recharge."
Bekesi et al.,2009,Water Resources Management,"groundwater allocation using a groundwater level response management method gnangara groundwater system, western australia","groundwater allocation using a groundwater level response management method gnangara groundwater system, western australia"
Bertrand et al.,2010,Journal of Hydrology,"identification of different groundwater flowpaths within volcanic aquifers using natural tracers for the evaluation of the influence of lava flows morphology (argnat basin, chaine des puys, france)","hydrochemical and stable isotopic (h 2, o 18) data were used to characterize the groundwater flow and major chemical features within a complex fractured volcanic aquifer system, the argnat basin, which is located in the chaine des puys (french massif central). from 10 sampling points, the study of the transfer into the saturated zone from upstream to downstream, given the geological context and topography, allows to estimate the role of supply from high and low altitudes to the recharge processes. this work shows the existence of different types of supply between pahoehoe and a'a flows. therefore, the morphology of volcanic flows impacts the chemical and isotopic signatures of groundwater, enhancing or reducing the influence of the unsaturated zone on the pathways of infiltrated water. pahoehoe flows imply horizontal water flows of low discharge at the top of the lava whereas a'a flows seems to be much more heterogeneous and locally able to promote the existence of perched water bodies and further vertical circulations. taking into account these two types of behaviour, a conceptual scheme of the functioning of this heterogeneous environment is proposed, which will help towards a sustainable management of volcanic aquifers in relation with the european union groundwater directive (2006/118/ce) (2006). (c) 2010 elsevier b.v. all rights reserved."
Bouchaou et al.,2009,Journal of Hydrology,origin and residence time of groundwater in the tadla basin (morocco) using multiple isotopic and geochemical tools,"groundwater resources in the tadla basin stem from surfacewater recharge and different groundwater inflows, forming a multilayered aquifer system, which hosts one of morocco's most important groundwater reservoirs. the hydrodynamic infrastructure; i.e. the relationship between all regional aquifers, recharge, and the residence time of waters poses a serious challenge for current water management and future exploitation in aiming for a long term sustainable utilization. a combined hydrogeologic and isotopic investigation using hydrochemical and isotopic tracers such as (18)o, (2)h, (3)h, (13)c and (14)c was carried out in order to determine the sources of water recharge to the aquifers, the groundwater flow system, and the residence time of these waters. more than one hundred point measurements throughout the study area in varying wells, boreholes, springs and rivers were investigated. chemical compositions of the groundwater indicate an important influence by the host carbonate rocks from each of the tadla aquifers. stable isotope results indicate the existence of two groups of groundwater corresponding to the unconfined aquifer in the north and the confined aquifer in the south. the delta(18)o, delta(2)h, (3)h, and (14)c data indicate that the high atlas mountains in the south and east of the basin, which are characterized by high rainfall and low delta(18)o and delta(2)h values, are currently the major source of recharge for the tadla aquifers. a significant recharge zone lies in the northern part of the basin where all the aquifers outcrop. the confined zones show depleted (18)o values, corresponding to the signature of recharge water from the atlas mountains. moreover, all isotope data demonstrated clearly that the tassaout springs, which are located in the southwest of the basin and were previously interpreted as representing natural outlet of the deep aquifers, are comprised of young waters with depleted (18)o and (2)h signatures, suggesting a high altitude recharge from the atlas mountain. in contrast, the unconfined parts of the aquifers show higher values of delta(18)o, indicating an evaporation phenomenon, which occurs during infiltration or recharge from irrigation. the mixing process of old and recent waters is confirmed by (14)c and (3)h. the isotopic data also indicates probable interaction and flow between the different aquifers. the isotopic and hydrochemical data is therefore essential in confirming possible mixing relationships between aquifers whereas traditional hydraulic data is not capable to provide a quantitative assessment of these relationships. the data generated in this study will certainly encourage the revision and improvement of the current hydrological water resources model for the tadla basin. the results provide a framework for development of a comprehensive management plan in which water exploitation shifts towards areas with modern recharge and where young and high quality groundwater is found. (c) 2009 elsevier b.v. all rights reserved."
